reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,nb_steps,wall_ms
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,1.0,0.5,0.5,0.5,0.5,402,16.512155532836914
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,1.0,0.5,0.5,0.5,0.5,6,0.0
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,1.0,0.5,0.5,0.5,0.5,35,1.0082721710205078
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,1.0,0.5,0.5,0.5,0.5,17,0.0
"LIST|LIST|COUNT,<0,0|TAKE,2,1","LIST|LIST|COUNT,<0,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,4118,193.1643486022949
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0","LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,3382,169.88396644592285
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0","LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",True,1.0,1.0,1.0,1.0,1.0,3373,151.85189247131348
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2","LIST|LIST|FILTER,>0,1|ZIPWITH,+,2,0",True,1.0,0.75,0.75,0.75,0.75,3346,155.95149993896484
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2","LIST|LIST|FILTER,ODD,1|ZIPWITH,max,2,0",True,1.0,0.75,0.75,0.75,0.75,3787,173.86746406555176
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|HEAD,0|DROP,2,0",True,1.0,0.8,0.6,0.6,0.6,22,0.9953975677490234
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|HEAD,0|DROP,2,0",True,1.0,0.6,0.6,0.6,0.6,22,0.9984970092773438
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",,False,0.0,0.0,0.0,0.0,0.0,10000,487.4424934387207
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,10000,471.8630313873291
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,10000,451.2383937835693
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,10000,452.36992835998535
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,10000,484.31921005249023
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",,False,0.0,0.0,0.0,0.0,0.0,10000,522.1261978149414
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",,False,0.0,0.0,0.0,0.0,0.0,10000,487.0121479034424
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1",True,1.0,1.0,1.0,1.0,1.0,2862,122.3907470703125
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1","LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",True,1.0,1.0,1.0,1.0,1.0,2853,124.22561645507812
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|MAP,-1,0|ZIPWITH,*,2,1",True,1.0,0.75,0.75,0.75,0.75,1782,70.88637351989746
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0","LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1762,89.79654312133789
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2","LIST|LIST|MAP,/3,0|ZIPWITH,*,2,1",True,1.0,0.75,0.75,0.75,0.75,3267,147.48644828796387
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1","LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",True,1.0,1.0,1.0,1.0,1.0,2632,120.41044235229492
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0","LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,2842,128.9513111114502
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2","LIST|LIST|SCAN1L,-,0|ZIPWITH,*,2,1",True,1.0,0.75,0.75,0.75,0.75,6250,378.1940937042236
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2","LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",True,1.0,0.75,0.75,0.75,0.75,5371,227.39696502685547
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0","LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,5236,309.6303939819336
"LIST|LIST|SORT,1|ZIPWITH,*,0,2","LIST|LIST|SORT,1|ZIPWITH,*,2,0",True,1.0,0.75,0.75,0.75,0.75,1204,57.80816078186035
"LIST|LIST|TAIL,0|TAKE,2,1","LIST|LIST|TAIL,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,189,8.543729782104492
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2","LIST|LIST|MAP,**2,0|ZIPWITH,max,2,1",True,1.0,0.5,0.5,0.5,0.5,2659,127.08115577697754
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,1.0,1.0,1.0,1.0,1.0,8217,492.0229911804199
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,1.0,1.0,1.0,1.0,1.0,8178,363.76452445983887
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,2,2",True,1.0,0.75,0.75,0.5,0.75,7184,316.73741340637207
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|MAP,+1,0|ZIPWITH,*,2,1",True,1.0,0.5,0.5,0.5,0.5,1512,69.42582130432129
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2","LIST|LIST|MAP,**2,1|ZIPWITH,-,0,2",True,1.0,0.75,0.75,0.5,0.75,2768,146.85869216918945
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2","LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",True,1.0,1.0,1.0,1.0,1.0,5570,260.8795166015625
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,2,2",True,1.0,0.5,0.5,0.5,0.5,7184,314.3434524536133
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,2,2",True,1.0,0.5,0.5,0.5,0.5,7184,443.75061988830566
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,2,0",True,1.0,0.75,0.75,0.75,0.75,7734,437.7119541168213
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1","LIST|LIST|MAP,*2,1|ZIPWITH,-,2,0",True,1.0,0.5,0.5,0.5,0.5,2091,103.77311706542967
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2","LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",True,1.0,1.0,1.0,1.0,1.0,6125,283.541202545166
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,max,0,1|ZIPWITH,*,2,1",True,1.0,0.5,0.5,0.5,0.5,9356,433.06922912597656
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|HEAD,0|ZIPWITH,max,0,1",True,1.0,0.5,0.5,0.5,0.5,85,4.001379013061523
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|HEAD,0|ZIPWITH,min,0,1",True,1.0,0.75,0.5,0.5,0.5,81,9.647369384765623
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2","LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",True,1.0,0.75,0.75,0.5,0.75,5621,296.0009574890137
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2","LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",True,1.0,0.75,0.75,0.5,0.75,5477,348.51789474487305
"LIST|MAP,**2,0|FILTER,<0,1","LIST|MAP,*2,0|FILTER,ODD,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,552,25.92754364013672
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|HEAD,0|COUNT,<0,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,27,1.432657241821289
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,612,30.48348426818848
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,557,25.821447372436523
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|MAP,*2,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,532,24.53398704528809
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|MAP,*2,0|MAP,**2,1",True,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,536,26.423215866088867
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,825,39.48616981506348
"LIST|MAP,*4,0|MAP,**2,1","LIST|MAP,*4,0|MAP,**2,1",True,1.0,1.0,1.0,1.0,1.0,1017,52.43086814880371
"LIST|MAP,*4,0|REVERSE,1","LIST|REVERSE,0|MAP,*4,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,184,9.565353393554688
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|HEAD,0|MAP,*3,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,18,1.0061264038085938
"LIST|MAP,+1,0|COUNT,>0,1","LIST|HEAD,0|COUNT,>0,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,26,1.9986629486083984
"LIST|MAP,+1,0|REVERSE,1","LIST|REVERSE,0|MAP,+1,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,168,7.001161575317383
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|HEAD,0|MAP,+1,0",True,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,12,0.99945068359375
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,1.0,1.0,1.0,1.0,1.0,428,25.53725242614746
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,1.0,1.0,1.0,1.0,1.0,434,17.438650131225586
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|HEAD,0|MAP,/2,0",True,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,15,1.0008811950683594
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,1.0,1.0,1.0,1.0,1.0,715,33.667802810668945
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,1.0,1.0,1.0,1.0,1.0,721,31.2654972076416
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|HEAD,0|MAP,/4,0",True,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,21,0.9982585906982422
"LIST|REVERSE,0|MAP,/4,1","LIST|REVERSE,0|MAP,/4,1",True,1.0,1.0,1.0,1.0,1.0,186,7.99870491027832
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|REVERSE,0|MAP,**2,1",True,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,178,10.569334030151367
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0","LIST|SCAN1L,*,0|ZIPWITH,max,1,0",True,1.0,1.0,1.0,1.0,1.0,1861,94.43140029907228
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,882,55.168867111206055
"LIST|SCAN1L,+,0|MAP,/4,1","LIST|SCAN1L,+,0|MAP,/4,1",True,1.0,1.0,1.0,1.0,1.0,1577,61.76519393920898
"LIST|SCAN1L,-,0|FILTER,<0,1","LIST|SCAN1L,-,0|FILTER,<0,1",True,1.0,1.0,1.0,1.0,1.0,1661,73.32897186279297
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,692,31.02755546569824
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,38,2.0003318786621094
"LIST|SCAN1L,min,0|SCAN1L,*,1","LIST|SCAN1L,min,0|SCAN1L,*,1",True,1.0,1.0,1.0,1.0,1.0,1919,66.84112548828125
"LIST|SORT,0|ZIPWITH,max,0,1","LIST|SORT,0|ZIPWITH,max,1,0",True,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,311,13.597488403320312
"LIST|TAIL,0|TAKE,1,0","LIST|TAIL,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,47,2.000093460083008
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|MAP,**2,0|MAP,/2,1",True,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,773,39.03985023498535
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|MAP,*2,0|MAP,*3,1",True,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,538,25.873899459838867
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|MAP,*2,0|SCAN1L,-,1",True,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,564,26.44491195678711
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|MAP,*2,0|ZIPWITH,max,1,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,551,23.379802703857425
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|HEAD,0|ZIPWITH,-,0,0",True,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,36,1.0004043579101562
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|MAP,*2,0|COUNT,ODD,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,560,16.365528106689453
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,38,1.9986629486083984
"LIST|ZIPWITH,max,0,0|COUNT,>0,1","LIST|HEAD,0|COUNT,>0,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,26,1.0006427764892578
"LIST|ZIPWITH,max,0,0|TAIL,1","LIST|HEAD,0|TAIL,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,3,0.0
"LIST|ZIPWITH,max,0,0|ZIPWITH,+,1,0","LIST|HEAD,0|MAP,*2,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,14,0.9996891021728516
"LIST|ZIPWITH,min,0,0|FILTER,>0,1","LIST|HEAD,0|FILTER,>0,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,22,0.9996891021728516
"LIST|ZIPWITH,min,0,0|ZIPWITH,*,1,0","LIST|HEAD,0|MAP,**2,0",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,17,0.0
"LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,38,3.164052963256836
