reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,partial_correctness,nb_steps,wall_ms
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2","LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",True,1.0,1.0,1.0,1.0,1.0,1.0,2006,68.66192817687988
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3","LIST|LIST|LIST|ZIPWITH,-,0,2|ZIPWITH,+,3,1",True,0.0,0.6,0.6,0.6,0.6,0.6,420,18.837928771972656
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1","LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",True,1.0,1.0,1.0,1.0,1.0,1.0,2205,106.7063808441162
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.5,0.75,0.6875,5,0.9999275207519532
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1","LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,3659,152.34637260437012
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,148,4.0035247802734375
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0","LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,2308,82.70859718322754
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2","LIST|LIST|MAP,/3,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.75,0.75,0.75,2705,101.98354721069336
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1","LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1787,86.7307186126709
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0","LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,2578,93.19806098937988
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2","LIST|LIST|SCAN1L,-,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.75,0.75,0.75,2840,139.65487480163574
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2","LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,4324,152.0528793334961
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0","LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,4333,174.92389678955078
"LIST|LIST|SORT,1|ZIPWITH,*,0,2","LIST|LIST|SORT,1|ZIPWITH,*,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,7969,323.89259338378906
"LIST|LIST|TAIL,0|TAKE,2,1","LIST|LIST|TAIL,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,7660,296.9653606414795
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,2,1",True,0.0,0.75,0.75,0.75,0.75,0.75,40,2.1071434020996094
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,1.0,1.0,1.0,1.0,1.0,1.0,227,11.921882629394531
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,1.0,1.0,1.0,1.0,1.0,1.0,239,14.28985595703125
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,1.0,1.0,1.0,1.0,1.0,1.0,146,9.003639221191406
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,157,10.273218154907228
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2","LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",True,1.0,1.0,1.0,1.0,1.0,1.0,2166,93.05858612060548
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2","LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",True,1.0,1.0,1.0,1.0,1.0,1.0,269,7.997751235961914
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,146,5.254983901977539
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,146,4.997014999389648
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,679,21.35634422302246
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,-,1,2",True,0.0,0.5,0.5,0.5,0.5,0.5,143,8.679389953613281
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2","LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,728,37.69230842590332
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,max,0,1|ZIPWITH,*,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,1760,84.68914031982422
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,13,0.9982585906982422
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2","LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,221,8.709907531738281
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2","LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,734,41.75066947937012
"LIST|MAP,**2,0|FILTER,<0,1","LIST|MAP,**2,0|FILTER,<0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,358,12.995481491088867
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|MAP,/2,0|COUNT,<0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,45,2.305746078491211
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,452,26.12614631652832
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,460,16.90530776977539
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|MAP,*2,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,524,17.889022827148438
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|MAP,*4,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,34,1.007080078125
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,804,34.22045707702637
"LIST|MAP,*4,0|MAP,**2,1","LIST|MAP,*4,0|ZIPWITH,*,1,1",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,883,33.37717056274414
"LIST|MAP,*4,0|REVERSE,1","LIST|MAP,*4,0|REVERSE,1",True,1.0,1.0,1.0,1.0,1.0,1.0,468,17.152786254882812
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|ZIPWITH,+,0,0|ZIPWITH,+,1,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,8,1.0111331939697266
"LIST|MAP,+1,0|COUNT,>0,1","LIST|MAP,/2,0|COUNT,>0,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,40,1.9979476928710935
"LIST|MAP,+1,0|REVERSE,1","LIST|MAP,+1,0|REVERSE,1",True,1.0,1.0,1.0,1.0,1.0,1.0,148,8.998870849609375
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|MAP,/2,0|MAP,+1,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,5,0.0
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,282,10.223865509033203
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,264,8.878946304321289
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|MAP,/2,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,2,0.0
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,376,12.497186660766602
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,1.0,1.0,1.0,1.0,1.0,1.0,370,12.495040893554688
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|ZIPWITH,min,0,0|MAP,/4,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,32,1.0008811950683594
"LIST|REVERSE,0|MAP,/4,1","LIST|MAP,/4,0|REVERSE,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,388,17.49253273010254
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|REVERSE,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,60,1.9991397857666016
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0","LIST|SCAN1L,*,0|ZIPWITH,max,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,420,15.494108200073242
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1084,45.7460880279541
"LIST|SCAN1L,+,0|MAP,/4,1","LIST|SCAN1L,+,0|MAP,/4,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1075,32.768964767456055
"LIST|SCAN1L,-,0|FILTER,<0,1","LIST|SCAN1L,-,0|FILTER,<0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1178,45.11857032775879
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,212,7.62629508972168
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|MAP,/2,0|ZIPWITH,min,0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,25,2.007722854614258
"LIST|SCAN1L,min,0|SCAN1L,*,1","LIST|SCAN1L,min,0|SCAN1L,*,1",True,1.0,1.0,1.0,1.0,1.0,1.0,663,19.12140846252441
"LIST|SORT,0|ZIPWITH,max,0,1","LIST|SORT,0|ZIPWITH,max,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,1468,54.08430099487305
"LIST|TAIL,0|TAKE,1,0","LIST|TAIL,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,2133,66.88499450683594
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|ZIPWITH,*,0,0|MAP,/2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0101795196533203
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|ZIPWITH,+,0,0|MAP,*3,1",True,1.0,1.0,1.0,1.0,1.0,1.0,118,6.355762481689453
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|ZIPWITH,+,0,0|SCAN1L,-,1",True,1.0,1.0,1.0,1.0,1.0,1.0,46,3.0040740966796875
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|MAP,*2,0|ZIPWITH,max,1,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,507,20.249366760253903
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|ZIPWITH,+,0,0|ZIPWITH,-,1,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,10,0.980377197265625
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|MAP,*2,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,522,15.238285064697266
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,+,0,0|ZIPWITH,-,1,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,11,0.0
"LIST|ZIPWITH,max,0,0|COUNT,>0,1","LIST|MAP,/2,0|COUNT,>0,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,40,1.026153564453125
"LIST|ZIPWITH,max,0,0|TAIL,1","LIST|MAP,+1,0|TAIL,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,61,1.991510391235352
"LIST|ZIPWITH,max,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,min,0,0|ZIPWITH,+,1,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,10,0.9894371032714844
"LIST|ZIPWITH,min,0,0|FILTER,>0,1","LIST|MAP,/2,0|FILTER,>0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,23,1.0008811950683594
"LIST|ZIPWITH,min,0,0|ZIPWITH,*,1,0","LIST|ZIPWITH,*,0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,2,1.0008811950683594
"LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,0","LIST|ZIPWITH,min,0,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,2,0.9996891021728516
