reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,partial_correctness,nb_steps,wall_ms
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,273.5767364501953
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,247.1256256103516
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,222.19038009643555
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,234.47895050048828
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,269.8853015899658
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,298.97594451904297
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,2862,62.81781196594238
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1","LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,2853,78.82905006408691
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|MAP,-1,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.75,0.75,0.75,1782,37.93048858642578
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0","LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,1762,44.20804977416992
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2","LIST|LIST|MAP,/3,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.75,0.75,0.75,3267,101.53937339782716
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1","LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,2632,60.47582626342773
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0","LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,2842,74.76210594177246
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2","LIST|LIST|SCAN1L,-,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.75,0.75,0.75,6250,191.79224967956543
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2","LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,5371,141.91246032714844
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0","LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,5236,140.95163345336914
"LIST|LIST|SORT,1|ZIPWITH,*,0,2","LIST|LIST|SORT,1|ZIPWITH,*,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,1204,34.708261489868164
"LIST|LIST|TAIL,0|TAKE,2,1","LIST|LIST|TAIL,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,189,3.99160385131836
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2","LIST|LIST|MAP,**2,0|ZIPWITH,max,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,2659,79.93865013122559
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,1.0,1.0,1.0,1.0,1.0,1.0,8217,231.42027854919436
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,1.0,1.0,1.0,1.0,1.0,1.0,8178,214.68424797058103
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,2,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,7184,193.67241859436035
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|MAP,+1,0|ZIPWITH,*,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,1512,32.928466796875
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2","LIST|LIST|MAP,**2,1|ZIPWITH,-,0,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,2768,55.9084415435791
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2","LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",True,1.0,1.0,1.0,1.0,1.0,1.0,5570,156.2662124633789
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,7184,209.8526954650879
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,7184,203.0029296875
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,7734,208.45699310302732
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1","LIST|LIST|MAP,*2,1|ZIPWITH,-,2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,2091,66.56146049499512
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2","LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,6125,167.89603233337402
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,max,0,1|ZIPWITH,*,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,9356,278.5334587097168
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|HEAD,0|ZIPWITH,max,0,1",True,0.0,0.5,0.5,0.5,0.5,0.5,85,1.9989013671875
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|HEAD,0|ZIPWITH,min,0,1",True,0.0,0.75,0.5,0.5,0.5,0.5625,81,2.0093917846679688
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2","LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,5621,184.7684383392334
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2","LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,5477,193.0193901062012
"LIST|MAP,**2,0|FILTER,<0,1","LIST|MAP,*2,0|FILTER,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,552,23.862838745117188
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|HEAD,0|COUNT,<0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,27,0.9989738464355468
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,612,19.76871490478516
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,557,15.12455940246582
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|MAP,*2,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,532,13.158559799194336
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|MAP,*2,0|MAP,**2,1",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,536,10.959148406982422
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,825,22.583961486816406
"LIST|MAP,*4,0|MAP,**2,1","LIST|MAP,*4,0|MAP,**2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1017,29.3276309967041
"LIST|MAP,*4,0|REVERSE,1","LIST|REVERSE,0|MAP,*4,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,184,3.9985179901123047
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|HEAD,0|MAP,*3,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,18,0.0
"LIST|MAP,+1,0|COUNT,>0,1","LIST|HEAD,0|COUNT,>0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,26,1.0008811950683594
"LIST|MAP,+1,0|REVERSE,1","LIST|REVERSE,0|MAP,+1,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,168,3.9980411529541016
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|HEAD,0|MAP,+1,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,12,0.0
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,428,11.50059700012207
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,434,9.424448013305664
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|HEAD,0|MAP,/2,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,15,1.003265380859375
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,715,16.416311264038086
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,1.0,1.0,1.0,1.0,1.0,1.0,721,19.266605377197266
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|HEAD,0|MAP,/4,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,21,1.0492801666259766
"LIST|REVERSE,0|MAP,/4,1","LIST|REVERSE,0|MAP,/4,1",True,1.0,1.0,1.0,1.0,1.0,1.0,186,3.038167953491211
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|REVERSE,0|MAP,**2,1",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,178,2.9981136322021484
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0","LIST|SCAN1L,*,0|ZIPWITH,max,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,1861,53.8182258605957
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,882,22.76086807250977
"LIST|SCAN1L,+,0|MAP,/4,1","LIST|SCAN1L,+,0|MAP,/4,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1577,32.633304595947266
"LIST|SCAN1L,-,0|FILTER,<0,1","LIST|SCAN1L,-,0|FILTER,<0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1661,42.33694076538086
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,692,12.00103759765625
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,38,0.9999275207519532
"LIST|SCAN1L,min,0|SCAN1L,*,1","LIST|SCAN1L,min,0|SCAN1L,*,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1919,34.715890884399414
"LIST|SORT,0|ZIPWITH,max,0,1","LIST|SORT,0|ZIPWITH,max,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,311,7.1926116943359375
"LIST|TAIL,0|TAKE,1,0","LIST|TAIL,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,47,0.8893013000488281
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|MAP,**2,0|MAP,/2,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,773,20.9043025970459
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|MAP,*2,0|MAP,*3,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,538,11.00301742553711
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|MAP,*2,0|SCAN1L,-,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,564,11.523008346557615
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|MAP,*2,0|ZIPWITH,max,1,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,551,10.429620742797852
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|HEAD,0|ZIPWITH,-,0,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,36,1.001596450805664
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|MAP,*2,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,560,11.200904846191406
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,38,0.99945068359375
"LIST|ZIPWITH,max,0,0|COUNT,>0,1","LIST|HEAD,0|COUNT,>0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,26,0.0
"LIST|ZIPWITH,max,0,0|TAIL,1","LIST|HEAD,0|TAIL,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,3,0.0
"LIST|ZIPWITH,max,0,0|ZIPWITH,+,1,0","LIST|HEAD,0|MAP,*2,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,14,0.0
"LIST|ZIPWITH,min,0,0|FILTER,>0,1","LIST|HEAD,0|FILTER,>0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,22,0.0
"LIST|ZIPWITH,min,0,0|ZIPWITH,*,1,0","LIST|HEAD,0|MAP,**2,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,17,0.0
"LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,38,1.035928726196289
