reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|TAKE,1,0|SCAN1L,max,2",0.0,0.0,0.0,0.0,0.0,402,78.17792892456055
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|HEAD,0|REVERSE,0",0.0,0.0,0.0,0.0,0.0,6,0.0
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|HEAD,0|SCAN1L,*,0",0.0,0.0,0.0,0.0,0.0,35,0.0
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|HEAD,0|MAP,*2,0",0.0,0.0,0.0,0.0,0.0,17,0.0
"LIST|LIST|COUNT,<0,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|DROP,2,1",0.0,0.0,0.0,0.0,0.0,1002,121.29020690917967
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|TAIL,1|DROP,2,0",0.0,0.0,0.0,0.0,0.0,1002,112.6244068145752
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|REVERSE,1",0.0,0.0,0.0,0.0,0.0,1002,153.65314483642578
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.0,0.0,0.0,0.0,0.0,1002,105.29255867004396
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,0",0.0,0.0,0.0,0.0,0.0,1002,169.75116729736328
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|LIST|INT|HEAD,0|DROP,2,0",0.5,0.0,0.5,0.0,0.25,22,0.0
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|INT|HEAD,0|DROP,2,0",0.0,0.0,0.0,0.0,0.0,22,14.219522476196287
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,98.344087600708
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|LIST|HEAD,0|ZIPWITH,-,2,2",0.0,0.0,0.0,0.0,0.0,1000,200.76608657836917
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,115.74697494506836
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,140.3186321258545
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,184.7443580627441
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,127.58708000183104
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|LIST|HEAD,0|ZIPWITH,max,0,1",0.0,0.0,0.0,0.0,0.0,1000,171.01645469665527
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|TAKE,2,1",0.0,0.0,0.0,0.0,0.0,1000,115.6613826751709
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,173.80619049072266
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,149.25408363342285
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,122.52688407897948
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,180.039644241333
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,126.7220973968506
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,118.96133422851562
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|SCAN1L,min,1",0.0,0.0,0.0,0.0,0.0,1000,150.12335777282715
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,max,0,1",0.0,0.0,0.0,0.0,0.0,1001,137.67409324645996
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|SCAN1L,-,1",0.5,0.0,0.5,0.0,0.25,1001,119.8740005493164
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|REVERSE,1|ZIPWITH,*,2,0",0.0,0.0,0.0,0.0,0.0,1000,194.12589073181152
"LIST|LIST|TAIL,0|TAKE,2,1","LIST|LIST|TAIL,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|TAIL,0|TAKE,2,1",1.0,1.0,1.0,1.0,1.0,189,41.28074645996094
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|MAP,**2,0",0.0,0.0,0.0,0.0,0.0,1000,151.50880813598633
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,161.43298149108887
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,134.3209743499756
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,-,0,0",0.0,0.0,0.0,0.0,0.0,1000,134.42373275756836
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|REVERSE,0|ZIPWITH,-,2,1",0.0,0.0,0.0,0.0,0.0,1000,154.56700325012207
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,-,0,1",0.0,0.0,0.0,0.0,0.0,1001,115.67044258117676
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,129.95076179504397
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,-,1,1",0.0,0.0,0.0,0.0,0.0,1000,142.49849319458008
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,-,1,1",0.0,0.0,0.0,0.0,0.0,1000,168.77055168151855
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,180.31835556030276
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,149.38807487487793
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,130.49554824829102
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|REVERSE,0",0.0,0.0,0.0,0.0,0.0,1000,167.8030490875244
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|HEAD,0|ZIPWITH,max,0,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,max,0,1",0.0,0.0,0.0,0.0,0.0,85,15.001535415649414
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|HEAD,0|ZIPWITH,min,0,1",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|LIST|HEAD,0|ZIPWITH,min,0,1",0.5,0.0,0.5,0.0,0.25,81,12.999296188354492
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|HEAD,0|ZIPWITH,min,0,1",0.0,0.0,0.0,0.0,0.0,1002,105.06939888000488
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1002,133.90827178955078
"LIST|MAP,**2,0|FILTER,<0,1","LIST|MAP,*2,0|FILTER,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*2,0|FILTER,ODD,1",0.0,0.0,0.0,0.0,0.0,552,79.05864715576172
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|HEAD,0|COUNT,<0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|COUNT,<0,0",0.0,0.0,0.0,0.0,0.0,27,2.999305725097656
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|SCAN1L,max,1",1.0,1.0,1.0,1.0,1.0,612,67.78717041015625
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,557,65.78803062438965
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|MAP,*2,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*2,0|SCAN1L,max,1",1.0,1.0,1.0,1.0,1.0,532,65.06586074829102
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|MAP,*2,0|MAP,**2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,*2,0|MAP,**2,1",0.5,0.5,0.5,0.5,0.5,536,94.06709671020508
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,*3,0|ZIPWITH,min,1,0",0.5,0.5,0.5,0.5,0.5,825,133.7597370147705
"LIST|MAP,*4,0|MAP,**2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,137.7577781677246
"LIST|MAP,*4,0|REVERSE,1","LIST|REVERSE,0|MAP,*4,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|REVERSE,0|MAP,*4,1",0.0,0.0,0.0,0.0,0.0,184,12.26520538330078
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|HEAD,0|MAP,*3,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|MAP,*3,0",0.0,0.0,0.0,0.0,0.0,18,0.0
"LIST|MAP,+1,0|COUNT,>0,1","LIST|HEAD,0|COUNT,>0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|COUNT,>0,0",0.0,0.0,0.0,0.0,0.0,26,13.733386993408203
"LIST|MAP,+1,0|REVERSE,1","LIST|REVERSE,0|MAP,+1,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|REVERSE,0|MAP,+1,1",0.0,0.0,0.0,0.0,0.0,168,17.01211929321289
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|HEAD,0|MAP,+1,0",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|HEAD,0|MAP,+1,0",0.5,0.0,0.5,0.0,0.25,12,0.9984970092773438
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,-1,0|FILTER,>0,1",1.0,1.0,1.0,1.0,1.0,428,56.64229393005371
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,-1,0|FILTER,ODD,1",1.0,1.0,1.0,1.0,1.0,434,59.63802337646485
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|HEAD,0|MAP,/2,0",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|HEAD,0|MAP,/2,0",0.5,0.0,0.5,0.0,0.25,15,0.9989738464355468
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,/4,0|HEAD,1",1.0,1.0,1.0,1.0,1.0,715,72.19362258911133
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,/4,0|MAXIMUM,1",1.0,1.0,1.0,1.0,1.0,721,73.59647750854492
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|HEAD,0|MAP,/4,0",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|HEAD,0|MAP,/4,0",0.5,0.0,0.5,0.0,0.25,21,0.9996891021728516
"LIST|REVERSE,0|MAP,/4,1","LIST|REVERSE,0|MAP,/4,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|REVERSE,0|MAP,/4,1",1.0,1.0,1.0,1.0,1.0,186,32.999515533447266
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|REVERSE,0|MAP,**2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|REVERSE,0|MAP,**2,1",0.5,0.5,0.5,0.5,0.5,178,40.53616523742676
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|SCAN1L,*,0",0.5,0.0,0.5,0.0,0.25,1000,159.41405296325684
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*3,0|SCAN1L,+,1",0.0,0.0,0.0,0.0,0.0,882,194.6730613708496
"LIST|SCAN1L,+,0|MAP,/4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,173.01249504089355
"LIST|SCAN1L,-,0|FILTER,<0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MINIMUM,0|TAKE,1,0",0.0,0.0,0.0,0.0,0.0,1000,133.91590118408203
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/3,0|SCAN1L,max,1",0.0,0.0,0.0,0.0,0.0,692,69.8537826538086
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|ZIPWITH,min,0,0",0.0,0.0,0.0,0.0,0.0,38,4.698276519775391
"LIST|SCAN1L,min,0|SCAN1L,*,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|SCAN1L,*,0",0.0,0.0,0.0,0.0,0.0,1000,205.89518547058103
"LIST|SORT,0|ZIPWITH,max,0,1","LIST|SORT,0|ZIPWITH,max,1,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|SORT,0|ZIPWITH,max,1,0",0.5,0.5,0.5,0.5,0.5,311,40.62652587890625
"LIST|TAIL,0|TAKE,1,0","LIST|TAIL,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|TAIL,0|TAKE,1,0",1.0,1.0,1.0,1.0,1.0,47,9.99760627746582
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|MAP,**2,0|MAP,/2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,**2,0|MAP,/2,1",0.5,0.5,0.5,0.5,0.5,773,103.71088981628418
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|MAP,*2,0|MAP,*3,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,*2,0|MAP,*3,1",0.5,0.5,0.5,0.5,0.5,538,64.97859954833984
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|MAP,*2,0|SCAN1L,-,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,*2,0|SCAN1L,-,1",0.5,0.5,0.5,0.5,0.5,564,109.36951637268066
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|MAP,*2,0|ZIPWITH,max,1,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*2,0|ZIPWITH,max,1,0",0.0,0.0,0.0,0.0,0.0,551,78.86791229248047
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|HEAD,0|ZIPWITH,-,0,0",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|HEAD,0|ZIPWITH,-,0,0",0.5,0.0,0.5,0.0,0.25,36,7.01141357421875
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|MAP,*2,0|COUNT,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*2,0|COUNT,ODD,1",0.0,0.0,0.0,0.0,0.0,560,76.29013061523438
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|ZIPWITH,min,0,0",0.0,0.0,0.0,0.0,0.0,38,9.248495101928713
"LIST|ZIPWITH,max,0,0|COUNT,>0,1","LIST|HEAD,0|COUNT,>0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|COUNT,>0,0",0.0,0.0,0.0,0.0,0.0,26,4.999876022338867
"LIST|ZIPWITH,max,0,0|TAIL,1","LIST|HEAD,0|TAIL,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|TAIL,0",0.0,0.0,0.0,0.0,0.0,3,1.001119613647461
"LIST|ZIPWITH,max,0,0|ZIPWITH,+,1,0","LIST|HEAD,0|MAP,*2,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|MAP,*2,0",0.0,0.0,0.0,0.0,0.0,14,1.3325214385986328
"LIST|ZIPWITH,min,0,0|FILTER,>0,1","LIST|HEAD,0|FILTER,>0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|FILTER,>0,0",0.0,0.0,0.0,0.0,0.0,22,2.321720123291016
"LIST|ZIPWITH,min,0,0|ZIPWITH,*,1,0","LIST|HEAD,0|MAP,**2,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|MAP,**2,0",0.0,0.0,0.0,0.0,0.0,17,1.0044574737548828
"LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,0","LIST|HEAD,0|ZIPWITH,min,0,0",True,0.0,0.5,0.0,0.5,0.0,0.25,"LIST|HEAD,0|ZIPWITH,min,0,0",0.5,0.0,0.5,0.0,0.25,38,3.013849258422852
