reference,solution,solved,nb_steps,wall_ms,best_partial_solution,best_partial_match_fraction
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",None,False,1004,155.90357780456543,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,2",0.2
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|ZIPWITH,-,0,0|FILTER,>0,3",True,92,18.46003532409668,None,
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|ZIPWITH,-,0,0|FILTER,>0,3",True,92,24.771451950073242,None,
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",True,221,24.427413940429688,None,
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",True,206,35.60471534729004,None,
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",None,False,1000,103.55949401855469,None,0.0
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",None,False,1000,143.38040351867676,None,0.0
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",None,False,1000,137.6206874847412,None,0.0
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",None,False,1000,118.58415603637695,None,0.0
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",None,False,1000,124.5882511138916,"LIST|LIST|LIST|ZIPWITH,max,0,0|ZIPWITH,max,3,1",0.4
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",True,5,0.0,None,
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",None,False,1001,150.0074863433838,None,0.0
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",True,148,15.77448844909668,None,
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",None,False,1001,149.31702613830566,None,0.0
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",None,False,1000,124.48000907897949,None,0.0
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",None,False,1001,130.86533546447754,None,0.0
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",None,False,1001,132.3864459991455,None,0.0
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",None,False,1000,140.78521728515625,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",0.2
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",None,False,1000,107.58709907531738,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",0.2
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",None,False,1003,110.39614677429199,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",0.2
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",None,False,1000,153.14269065856934,None,0.0
"LIST|LIST|TAIL,0|TAKE,2,1",None,False,1001,154.6618938446045,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,1",0.2
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,2,1",True,22,2.001047134399414,None,
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,227,15.69223403930664,None,
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,260,36.232709884643555,None,
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,26.76105499267578,None,
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",True,157,11.241674423217773,None,
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2","LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",True,14,5.021095275878906,None,
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",None,False,1001,104.96664047241211,None,0.0
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,23.87714385986328,None,
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,21.940231323242188,None,
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,2,0",True,679,93.1086540222168,None,
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,-,1,2",True,143,11.51132583618164,None,
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2","LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",True,464,50.93693733215332,None,
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2",None,False,1000,193.89104843139648,"LIST|LIST|ZIPWITH,*,0,0",0.2
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",True,25,15.705347061157227,None,
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,min,0,1",True,34,4.2552947998046875,None,
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2",None,False,1001,112.04695701599121,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,min,0,1",0.2
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2",None,False,1001,109.2832088470459,None,0.0
"LIST|MAP,**2,0|FILTER,<0,1","LIST|ZIPWITH,*,0,0|FILTER,<0,1",True,54,0.0,None,
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|ZIPWITH,-,0,0|COUNT,<0,0",True,63,17.101287841796875,None,
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,526,114.82715606689453,None,
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,554,76.64299011230469,None,
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|ZIPWITH,+,0,0|SCAN1L,max,1",True,284,53.97939682006836,None,
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|MAP,*4,1",True,32,8.025646209716797,None,
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,336,70.14727592468262,None,
"LIST|MAP,*4,0|MAP,**2,1","LIST|MAP,*4,0|ZIPWITH,*,1,1",True,803,107.48577117919922,None,
"LIST|MAP,*4,0|REVERSE,1","LIST|MAP,*4,0|REVERSE,1",True,552,86.77339553833008,None,
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|ZIPWITH,-,0,0|MAP,*3,0",True,23,3.9949417114257812,None,
"LIST|MAP,+1,0|COUNT,>0,1","LIST|ZIPWITH,-,0,0|COUNT,>0,0",True,61,11.413335800170898,None,
"LIST|MAP,+1,0|REVERSE,1","LIST|MAP,+1,0|REVERSE,1",True,390,59.63134765625,None,
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|ZIPWITH,-,0,0|MAP,+1,0",True,31,5.897998809814453,None,
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,692,80.58857917785645,None,
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,618,64.28909301757812,None,
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|ZIPWITH,-,0,0|MAP,/2,0",True,31,14.37067985534668,None,
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,640,127.72393226623535,None,
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,636,107.02347755432129,None,
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|ZIPWITH,-,0,0|MAP,/4,0",True,37,0.0,None,
"LIST|REVERSE,0|MAP,/4,1","LIST|MAP,/4,0|REVERSE,1",True,632,90.56425094604492,None,
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|REVERSE,1",True,74,7.99870491027832,None,
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0",None,False,1000,185.61482429504395,"LIST|ZIPWITH,*,0,0|SCAN1L,*,0",0.8
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,446,60.19091606140137,None,
"LIST|SCAN1L,+,0|MAP,/4,1",None,False,1000,137.61186599731445,None,0.0
"LIST|SCAN1L,-,0|FILTER,<0,1",None,False,1000,147.1424102783203,"LIST|ZIPWITH,-,0,0|FILTER,>0,1",0.2
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,286,26.633501052856445,None,
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",True,5,0.9868144989013672,None,
"LIST|SCAN1L,min,0|SCAN1L,*,1",None,False,1000,177.6139736175537,"LIST|ZIPWITH,*,0,0|SCAN1L,*,0",0.6
"LIST|SORT,0|ZIPWITH,max,0,1",None,False,1000,148.43153953552246,"LIST|ZIPWITH,-,0,0|SCAN1L,max,0",0.2
"LIST|TAIL,0|TAKE,1,0",None,False,1000,162.42098808288574,"LIST|MAP,/2,0|FILTER,ODD,1",0.2
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|ZIPWITH,*,0,0|MAP,/2,1",True,26,1.9998550415039062,None,
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|ZIPWITH,+,0,0|MAP,*3,1",True,262,29.65545654296875,None,
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|ZIPWITH,+,0,0|SCAN1L,-,1",True,124,25.251388549804688,None,
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|ZIPWITH,+,0,0|ZIPWITH,max,1,0",True,252,43.00856590270996,None,
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|ZIPWITH,-,0,0",True,2,0.0,None,
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|ZIPWITH,-,0,0|COUNT,>0,1",True,60,5.996942520141602,None,
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",True,5,1.0008811950683594,None,
"LIST|ZIPWITH,max,0,0|COUNT,>0,1","LIST|ZIPWITH,-,0,0|COUNT,>0,0",True,61,5.996227264404297,None,
"LIST|ZIPWITH,max,0,0|TAIL,1","LIST|ZIPWITH,-,0,0|TAIL,0",True,75,15.515327453613281,None,
"LIST|ZIPWITH,max,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,-,0,0|ZIPWITH,+,0,0",True,21,4.513978958129883,None,
"LIST|ZIPWITH,min,0,0|FILTER,>0,1","LIST|ZIPWITH,-,0,0|FILTER,>0,0",True,53,10.001420974731445,None,
"LIST|ZIPWITH,min,0,0|ZIPWITH,*,1,0","LIST|ZIPWITH,*,0,0",True,2,0.0,None,
"LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,0","LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",True,5,0.9996891021728516,None,
